,Role,07/12/17 - 07/11/18,07/12/18 - 07/11/19,07/12/19 - 07/11/20,07/12/20 - 07/11/21,07/12/21 - 07/11/22,Education,Functional Responsibility,Years of Experience,Company,socio_economic
52,Business Analyst 1,110.6,112.67,115.94,119.3,122.76,Bachelor's,"The Business Analyst 1 may provide knowledge in business process and system analysis, design, improvement, and implementation efforts or in translating business process needs into technical requirements. The Business Analyst uses available computer systems resources and personnel to carry out analysis to support management's quest for performance improvement to determine the most useful business solution. In addition, the Business Analyst may, Implement a comprehensive management plan for each project and hold regular stakeholder meetings to keep all interested parties updated in project progress, Determine and document user requirements for business processes and abide by those requirements for future projects, Reviews and analyzes information, forecasts, methods, schedules, systems, processes and procedures, Provides expertise in, but not limited to, Configuration Management, Strategic Planning, Knowledge Management, Business Analysis and Technical Analysis. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
53,Business Analyst 2,161.3,164.32,169.09,173.99,179.04,Bachelor's,"The Business Analyst 2 may provide knowledge in business process and system analysis, design, improvement, and implementation efforts or in translating business process needs into technical requirements. The Business Analyst uses available computer systems resources and personnel to carry out analysis to support management's quest for performance improvement to determine the most useful business solution. In addition, the Business Analyst may, Implement a comprehensive management plan for each project and hold regular stakeholder meetings to keep all interested parties updated in project progress, Determine and document user requirements for business processes and abide by those requirements for future projects, Reviews and analyzes information, forecasts, methods, schedules, systems, processes and procedures, Provides expertise in, but not limited to, Configuration Management, Strategic Planning, Knowledge Management, Business Analysis and Technical Analysis. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business
54,Business Analyst 3,216.69,220.74,227.14,233.73,240.51,Bachelor's,"The Business Analyst 3 may provide knowledge in business process and system analysis, design, improvement, and implementation efforts or in translating business process needs into technical requirements. The Business Analyst uses available computer systems resources and personnel to carry out analysis to support management's quest for performance improvement to determine the most useful business solution. In addition, the Business Analyst may, Implement a comprehensive management plan for each project and hold regular stakeholder meetings to keep all interested parties updated in project progress, Determine and document user requirements for business processes and abide by those requirements for future projects, Reviews and analyzes information, forecasts, methods, schedules, systems, processes and procedures, Provides expertise in, but not limited to, Configuration Management, Strategic Planning, Knowledge Management, Business Analysis and Technical Analysis. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business
55,Quality Assurance Specialist,138.72,141.31,145.41,149.63,153.97,Bachelor's,"The Quality Assurance Specialist may improve reliability of new product development processes, maintain company quality standards, or review products, processes and systems on an ongoing basis to determine where improvements can be made. The Quality Assurance Specialist may, Develop and implement quality control methodologies to ensure compliance with quality assurance standards, guidelines, and procedures, Develop and define major and minor characteristics of quality including quality metrics and scoring parameters and determines requisite quality control resources for an actual task order, Establish and maintain a process for evaluating hardware, software, and associated documentation and/or assist in the evaluation, Conduct and/or participate in formal and informal reviews at pre-determined points throughout the development life cycle.",3,Accenture Federal Services,Other than small business
56,Network Administrator,145.93,148.66,152.97,157.41,161.97,Bachelor's,"The Network Administrators administers design, organization, or implementation of network, and heads technical support staff who manage and maintain hubs, servers, and routers. This individual uses knowledge and understanding of both networking and telecommunications theory and practice. The Network Administrator communicates with users, technical teams, and vendors on new technology and system upgrades and to determine software and hardware installation requirements.",3,Accenture Federal Services,Other than small business
57,Enterprise Architect,221.7,225.85,232.4,239.14,246.08,Bachelor's,"The Enterprise architects work with stakeholders, both leadership and subject matter experts, to build a holistic view of the organization's strategy, processes, information, and information technology assets to keep the business and IT in alignment. The Enterprise Architect links the business mission, strategy, and processes of an organization to its IT strategy, and documents this using multiple architectural models or views that show how the current and future needs of an organization will be met in an efficient, sustainable, agile, and adaptable manner.",8,Accenture Federal Services,Other than small business
58,ITIL Service Manager 1,98.26,100.1,103.0,105.99,109.06,Bachelor's,"The ITIL Service Manager defines and maintains organizational structure, roles and responsibilities or staffing for the Service Management Team. The ITIL Service manager may perform the following , Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements, Responsible for supporting in audit activities and take steps to ensure all gaps are addressed in a timely manner, D58 Ensuring that all KPI targets are being achieved, Provide periodic status reports/communications to stakeholders on Major incidents, other priority incidents and issues, Weekly communication to management on issues, risks, accomplishments, SLA breaches, and KPIs, Communicate status updates to executive leadership, Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements., Ensure compliance to the Service Delivery Operating Model and Service Delivery processes, leverage tool, Plan for and manage demand fulfillment based on priority, Measure and monitor demand to make sure demand is met on a timely basis and within budget, and expectations are met or exceeded, Identify resource requirements defined by skills and experience using resources effectively, Define team member roles and expectations, and gain timely feedback, Manage day-to-day relationships with teaming partners and suppliers, Identify and implement best practices, continuous improvements. Level 1 performs more routine aspects of the position and is supervised by higher levels. ",2,Accenture Federal Services,Other than small business
59,ITIL Service Manager 2,116.78,118.97,122.42,125.97,129.62,Bachelor's,"The ITIL Service Manager defines and maintains organizational structure, roles and responsibilities or staffing for the Service Management Team. The ITIL Service Manager may perform the following, Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements, Responsible for supporting in audit activities and take steps to ensure all gaps are addressed in a timely manner, Ensuring that all KPI targets are being achieved, Provide periodic status reports/communications to stakeholders on Major incidents, other priority incidents and issues, Weekly communication to management on issues, risks, accomplishments, SLA breaches, and KPIs, Communicate status updates to executive leadership, Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements, Ensure compliance to the Service Delivery Operating Model and Service Delivery processes, leverage tool, Plan for and manage demand fulfillment based on priority, Measure and monitor demand to make sure demand is met on a timely basis and within budget, and expectations are met or exceeded, Identify resource requirements defined by skills and experience using resources effectively, Define team member roles and expectations, and gain timely feedback, Manage day-to-day relationships with teaming partners and suppliers, Identify and implement best practices, continuous improvements. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",4,Accenture Federal Services,Other than small business
60,ITIL Service Manager 3,145.72,148.45,152.76,157.19,161.75,Bachelor's,"The ITIL Service Manager defines and maintains organizational structure, roles and responsibilities or staffing for the Service Management Team. The ITIL Service Manager may perform the following:, Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements, Responsible for supporting in audit activities and take steps to ensure all gaps are addressed in a timely manner, Ensuring that all KPI targets are being achieved Provide periodic status reports/communications to stakeholders on Major incidents, other priority incidents and issues, Weekly communication to management on issues, risks, accomplishments, SLA breaches, and KPIs, Communicate status updates to executive leadership, Manage the entire Service Delivery unit or a subsegment of the Service Delivery unit according to the agreed-upon Service Level Agreements and Operational Level Agreements, Ensure compliance to the Service Delivery Operating Model and Service Delivery processes, leverage tool, Plan for and manage demand fulfillment based on priority, Measure and monitor demand to make sure demand is met on a timely basis and within budget, and expectations are met or exceeded, Identify resource requirements defined by skills and experience using resources effectively., Define team member roles and expectations, and gain timely feedback, Manage day-to-day relationships with teaming partners and suppliers, Identify and implement best practices, continuous improvements. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",6,Accenture Federal Services,Other than small business
61,Training Specialist,145.93,148.66,152.97,157.41,161.97,Bachelor's,"The Training Specialist develops teaching outlines and determines instructional methods, using knowledge of specified training needs and effectiveness of such methods as individual training, group instruction, lectures, demonstrations, conferences, meetings, or workshops. This individual prepares, organizes and heads training sessions covering standard training, specialized training or counseling in designated areas.",2,Accenture Federal Services,Other than small business
62,Storage Administrator,138.72,141.31,145.41,149.63,153.97,Bachelor's,"The Storage Administrator administers and safeguards efficient and reliable centralized electronic storage area networks (SAN), such as Network Attached Storage, Content Addressable Storage, DAS environments, or other technologies classified as storage technology. This individual may oversee, evaluate, implement, monitor, troubleshoot, or maintain SAN and related technologies, system upgrades, or optimization storage strategies. The Storage Administrator monitors the data storage needs of the company so that business can run efficiently.",3,Accenture Federal Services,Other than small business
63,Analyst 1,101.9,103.81,106.82,109.92,113.11,Bachelor's,"The Analyst 1 applies their analytical and technical skills to assist in implementing business solutions. An Analyst 1 is directed to exercise core skills on projects, or may direct small teams. They are qualified to perform tasks such as, Document an organization’s current business process flows, Design, code and test functional components of information systems according to project specifications Identify and document functional requirements for information systems, Develop project documentation and user training materials according to program specifications Conduct user training sessions, Prepare communications plans, Produce database extracts, Provide technical support to software development teams, Perform program management support tasks, such as status reporting and work plan maintenance. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
64,Analyst 2,129.09,131.5,135.31,139.23,143.27,Bachelor's,"The Analyst 2 applies their analytical and technical skills to assist in implementing business solutions. An Analyst 2 is directed to exercise core skills on projects, or may direct small teams. They are qualified to perform tasks such as, Document an organization’s current business process flows, Design, code and test functional components of information systems according to project specifications, Identify and document functional requirements for information systems, Develop project documentation and user training materials according to program specifications, Conduct user training sessions, Prepare communications plan, Produce database extracts, Provide technical support to software development teams, Perform program management support tasks, such as status reporting and work plan maintenance. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business
65,Analyst 3,162.35,165.39,170.19,175.13,180.21,Bachelor's,"The Analyst 3 applies their analytical and technical skills to assist in implementing business solutions. An Analyst 3 is directed to exercise core skills on projects, or may direct small teams. They are qualified to perform tasks such as Document an organization’s current business process flows, Design, code and test functional components of information systems according to project specifications, Identify and document functional requirements for information systems, Develop project documentation and user training materials according to program specifications, Conduct user training sessions, Prepare communications plan, Produce database extract, Provide technical support to software development teams, Perform program management support tasks, such as status reporting and work plan maintenance. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",4,Accenture Federal Services,Other than small business
66,Web Designer,138.72,141.31,145.41,149.63,153.97,Bachelor's,"The Web Designer may design, plan, or execute the design and layout for Internet sites and web pages, which may include combining text with sounds, pictures, graphics, and video-clips. The Web Designer may, Question or communicate with clients to assess their needs, discuss requirements, and clarify their goals for establishing a website., Meet with clients on a regular basis to evaluate and modify site as it seems appropriate and keeps them informed of project progress., Design custom-tailored plan for a proposed site using combination of graphic and written material, and modifies proposal as necessary until the client is satisfied., Design, maintain, and update information and digitized images, banners, bullets, charts, image maps, and other graphics to enhance appearance of site and keep the content and graphics current., Maintain site appearance by developing and enforcing content and display standards.",2,Accenture Federal Services,Other than small business
