,Role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,Education,Functional Responsibility,Years of Experience,Company,socio_economic
795,Business Process Reengineering Specialist Level III,105.94,108.06,110.22,112.42,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,VSE CORPORATION,
796,Business Process Reengineering Specialist Level III,196.37,202.27,208.33,214.58,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,UNIVERSAL HI-TECH DEVELOPMENT INC,
797,Business Process Reengineering Specialist Level III,119.28,121.67,124.1,126.58,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,INDUS CORPORATION,
798,Business Process Reengineering Specialist Level III,130.35,133.61,136.95,140.37,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,STG INC,
799,Business Process Reengineering Specialist Level III,271.2,277.44,283.82,290.35,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,PRICEWATERHOUSECOOPERS LLP,
800,Business Process Reengineering Specialist Level III,115.98,119.09,122.28,125.55,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,SERCO GROUP PLC,
801,Business Process Reengineering Specialist Level III,173.45,179.0,184.73,190.64,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,SGT INCORPORATED,
802,Business Process Reengineering Specialist Level III,117.22,120.19,123.22,126.37,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,LOCKHEED MARTIN CORPORATION,
803,Business Process Reengineering Specialist Level III,128.15,131.99,135.95,140.03,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,VISTRONIX INC,
804,Business Process Reengineering Specialist Level III,154.29,158.92,163.69,168.6,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,PROJECT PERFORMANCE CORPORATION,
805,Business Process Reengineering Specialist Level III,107.5,110.19,112.95,115.77,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,OMNITEC SOLUTIONS INC,
806,Business Process Reengineering Specialist Level III,160.43,165.61,170.96,176.49,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,QUALITY SOFTWARE SERVICES INC (QSSI),
807,Business Process Reengineering Specialist Level III,133.05,136.51,140.06,143.7,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,LGS INNOVATIONS LLC,
808,Business Process Reengineering Specialist Level III,104.88,106.98,109.12,111.3,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,NCI INC,
809,Business Process Reengineering Specialist Level III,155.54,160.21,165.01,169.96,,,,,"Business Process Reengineering Specialist ? Level III Manage use of process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects. Responsible for transitioning of existing organizations or project teams in accomplishing the organization?s goals or project activities and objectives through improved use of internet and other automated processes. Support activity and data modeling, development of modern business met",,"HYGEIA SOLUTION PARTNERS, LLC",
810,Chief Information Security Officer,152.5,155.56,158.67,161.84,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,BOOZ ALLEN HAMILTON,
811,Chief Information Security Officer,229.87,236.94,244.26,251.76,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,ACCENTURE,
812,Chief Information Security Officer,138.87,141.66,144.49,147.39,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,CACI INTERNATIONAL INC,
813,Chief Information Security Officer,140.96,145.19,149.54,154.03,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,CACI INTERNATIONAL INC,
814,Chief Information Security Officer,171.94,177.1,182.43,187.93,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,COMPUTER SCIENCES CORPORATION (CSC),
815,Chief Information Security Officer,163.32,167.73,172.25,176.91,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,GENERAL DYNAMICS CORPORATION,
816,Chief Information Security Officer,119.6,122.59,125.65,128.8,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,HARRIS CORPORATION,
817,Chief Information Security Officer,249.27,256.74,264.45,272.38,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,HEWLETT-PACKARD COMPANY (HP),
818,Chief Information Security Officer,193.58,199.19,204.97,210.91,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,IBM CORPORATION,
819,Chief Information Security Officer,233.32,239.29,245.41,251.81,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,NORTHROP GRUMMAN CORPORATION,
820,Chief Information Security Officer,134.21,138.24,142.38,146.66,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,PRAGMATICS INC,
821,Chief Information Security Officer,131.01,134.28,137.64,141.08,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"LEIDOS, INC.",
822,Chief Information Security Officer,172.37,176.67,181.09,185.62,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,SRA INTERNATIONAL INC,
823,Chief Information Security Officer,145.32,148.22,151.19,154.49,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,UNISYS CORPORATION,
824,Chief Information Security Officer,96.04,97.96,99.92,101.92,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,VSE CORPORATION,
825,Chief Information Security Officer,143.33,147.05,150.88,154.8,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,XEROX CORPORATION,
826,Chief Information Security Officer,168.93,174.85,180.97,187.3,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,MANTECH INTERNATIONAL CORP,
827,Chief Information Security Officer,166.43,171.42,176.56,181.86,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,UNIVERSAL HI-TECH DEVELOPMENT INC,
828,Chief Information Security Officer,134.36,137.05,139.79,142.59,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,INDUS CORPORATION,
829,Chief Information Security Officer,129.84,133.09,136.41,139.82,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,STG INC,
830,Chief Information Security Officer,217.26,224.0,230.93,236.83,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,DELOITTE LLP,
831,Chief Information Security Officer,169.7,174.79,180.03,185.43,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,DELL INC,
832,Chief Information Security Officer,229.39,234.67,240.07,245.59,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,PRICEWATERHOUSECOOPERS LLP,
833,Chief Information Security Officer,171.35,176.23,181.26,186.42,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"WYLE LABORATORIES, INC.",
834,Chief Information Security Officer,225.77,233.68,241.85,250.31,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,RAYTHEON COMPANY,
835,Chief Information Security Officer,161.13,165.45,169.88,174.43,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,SERCO GROUP PLC,
836,Chief Information Security Officer,179.07,184.8,190.71,196.82,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,SGT INCORPORATED,
837,Chief Information Security Officer,167.02,172.03,177.2,182.51,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"SOTERA DEFENSE SOLUTIONS, INC.",
838,Chief Information Security Officer,195.61,201.29,207.26,213.32,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"BAE SYSTEMS, INC",
839,Chief Information Security Officer,134.37,138.67,143.1,147.68,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,CIBER INC,
840,Chief Information Security Officer,158.6,162.61,166.72,170.99,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,LOCKHEED MARTIN CORPORATION,
841,Chief Information Security Officer,182.48,187.95,193.59,199.4,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"A-TEK, INC",
842,Chief Information Security Officer,148.63,153.09,157.68,162.41,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,VISTRONIX INC,
843,Chief Information Security Officer,123.45,125.8,128.19,130.62,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,DYNAMICS RESEARCH CORPORATION (DRC),
844,Chief Information Security Officer,156.5,161.2,166.04,171.02,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,PROJECT PERFORMANCE CORPORATION,
845,Chief Information Security Officer,180.09,185.04,190.13,195.36,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,AQUILENT INC,
846,Chief Information Security Officer,142.64,146.92,151.33,155.87,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,JACOBS ENGINEERING GROUP INC,
847,Chief Information Security Officer,190.4,195.16,200.04,205.04,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,SMARTRONIX INC,
848,Chief Information Security Officer,154.19,159.58,165.17,170.95,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,CGI GROUP INC,
849,Chief Information Security Officer,194.11,199.93,205.93,212.1,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,ELECTRONIC CONSULTING SERVICES INC (ECS),
850,Chief Information Security Officer,115.7,118.6,121.56,124.6,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,OMNITEC SOLUTIONS INC,
851,Chief Information Security Officer,149.69,152.69,155.74,158.86,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"CREATIVE COMPUTING SOLUTIONS, INC",
852,Chief Information Security Officer,128.74,130.67,132.63,134.62,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,ONPOINT CONSULTING INC,
853,Chief Information Security Officer,172.4,174.64,176.91,179.21,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"CREATIVE INFORMATION TECHNOLOGY, INC (CITI)",
854,Chief Information Security Officer,158.39,163.51,168.79,174.24,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,QUALITY SOFTWARE SERVICES INC (QSSI),
855,Chief Information Security Officer,262.15,270.01,278.11,286.45,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,ICF INTERNATIONAL INC,
856,Chief Information Security Officer,164.29,168.56,173.12,177.96,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"AAC, INC",
857,Chief Information Security Officer,165.86,170.18,174.6,179.14,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,LGS INNOVATIONS LLC,
858,Chief Information Security Officer,135.73,137.09,138.46,138.46,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,ADVANCED TECHNOLOGY SYSTEMS INC,
859,Chief Information Security Officer,161.06,165.89,170.87,175.99,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,L-3 NATIONAL SECURITY SOLUTIONS INC,
860,Chief Information Security Officer,139.58,142.37,145.22,148.12,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,NCI INC,
861,Chief Information Security Officer,165.54,170.51,175.62,180.89,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,"HYGEIA SOLUTION PARTNERS, LLC",
862,Chief Information Security Officer,162.26,165.51,168.82,172.2,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,CATAPULT HEALTH TECHNOLOGY GROUP (CHTG) JV,
863,Chief Information Security Officer,214.99,221.44,228.08,234.92,,,,,Chief Information Security Officer Responsible for determining enterprise information security standards. Develop and implements information security standards and procedures. Provide tactical information security advice and examining the ramifications of new technologies. Ensure that all information systems are functional and secure.,,MAXIMUS INC,
864,Communications Hardware Specialist,107.89,110.04,112.24,114.49,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,BOOZ ALLEN HAMILTON,
865,Communications Hardware Specialist,115.89,119.47,123.17,126.98,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,ACCENTURE,
866,Communications Hardware Specialist,65.69,67.0,68.34,69.7,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,CACI INTERNATIONAL INC,
867,Communications Hardware Specialist,48.06,49.5,50.99,52.52,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,CACI INTERNATIONAL INC,
868,Communications Hardware Specialist,103.71,106.82,110.03,113.34,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,COMPUTER SCIENCES CORPORATION (CSC),
869,Communications Hardware Specialist,65.31,67.07,68.88,70.74,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,GENERAL DYNAMICS CORPORATION,
870,Communications Hardware Specialist,83.35,85.43,87.57,89.76,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,HARRIS CORPORATION,
871,Communications Hardware Specialist,65.42,67.48,69.62,71.35,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,HEWLETT-PACKARD COMPANY (HP),
872,Communications Hardware Specialist,78.49,80.77,83.11,85.52,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,IBM CORPORATION,
873,Communications Hardware Specialist,64.71,66.36,68.06,69.83,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,NORTHROP GRUMMAN CORPORATION,
874,Communications Hardware Specialist,97.28,100.2,103.2,106.3,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,PRAGMATICS INC,
875,Communications Hardware Specialist,83.37,85.45,87.59,89.78,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,"LEIDOS, INC.",
876,Communications Hardware Specialist,60.48,61.99,63.54,65.13,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,SRA INTERNATIONAL INC,
877,Communications Hardware Specialist,90.73,92.57,94.41,96.48,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,UNISYS CORPORATION,
878,Communications Hardware Specialist,44.82,45.72,46.63,47.56,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,VSE CORPORATION,
879,Communications Hardware Specialist,84.41,86.6,88.85,91.16,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,XEROX CORPORATION,
880,Communications Hardware Specialist,79.19,81.96,84.83,87.79,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,MANTECH INTERNATIONAL CORP,
881,Communications Hardware Specialist,91.85,94.6,97.44,100.36,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,UNIVERSAL HI-TECH DEVELOPMENT INC,
882,Communications Hardware Specialist,101.18,103.2,105.26,107.37,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,INDUS CORPORATION,
883,Communications Hardware Specialist,73.04,74.86,76.74,78.65,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,STG INC,
884,Communications Hardware Specialist,83.29,84.82,86.35,87.63,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,DELOITTE LLP,
885,Communications Hardware Specialist,68.96,71.3,73.16,75.35,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,DELL INC,
886,Communications Hardware Specialist,74.78,76.5,78.26,80.06,,,,,"Communications Hardware Specialist Analyze network and computer communications hardware characteristics and recommends equipment procurement, removals, and modifications. Add, delete, and modify, as required, host, terminal, and network devices. Assist and coordinate with communications network specialists in the area of communication software. Analyze and implement communications standards and protocols according to site requirements",,PRICEWATERHOUSECOOPERS LLP,
