,role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,education,responsibility,yoe_x,company,socio_economic,2018_2019_mean,2019_2020_mean,2020_2021_mean,2021_2022_mean,2022_2023_mean,2023_2024_mean,2024_2025_mean,yoe_y,2018_2019_max,2019_2020_max,2020_2021_max,2021_2022_max,2022_2023_max,2023_2024_max,2024_2025_max,yoe_x,2018_2019_min,2019_2020_min,2020_2021_min,2021_2022_min,2022_2023_min,2023_2024_min,2024_2025_min,yoe_y,1819_1920_change,1920_2021_change,2021_2122_change,2122_2223_change,2223_2324_change,2324_2425_change
109,Graphics Designer 1,90.47,92.28,94.12,96.29,98.21,,,Associate's,"Ability to develop graphics for both programmatic and technical tasks. General knowledge of the administrative field and the ability to work with minimal supervision. Assists in the preparation of presentation graphics, and supports the development of contract deliverables and reports by developing and updating graphic presentations to improve the quality and enhance the usability of these documents. Responsible for integrating the graphics generated with automated tools and the deliverable documents.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",90.47,92.28,94.12,96.29,98.21,,,1.0,90.47,92.28,94.12,96.29,98.21,,,1,90.47,92.28,94.12,96.29,98.21,,,1,0.020006632032718054,0.019939315127871733,0.023055673608159813,0.019939765292345906,,
110,Information Engineer 1,118.51,120.88,123.29,126.13,128.65,,,Bachelor's,"Performs as an applications programmer on large-scale database management systems, knowledge of computer equipment, and ability to develop complex software to satisfy design objectives. Analyzes application software and design specifications for information process activities. Develops block diagrams and logic flow charts. Translates detailed design into application software. Tests, debugs, and refines the application software to produce the required product. Prepares required documentation, including both program-level and user-level documentation. Works under general supervision.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",118.51,120.88,123.29,126.13,128.65,,,0.0,118.51,120.88,123.29,126.13,128.65,,,0,118.51,120.88,123.29,126.13,128.65,,,0,0.019998312378702136,0.019937127729980235,0.023035120447724787,0.01997938634741941,,
111,Information Engineer 2,152.38,155.43,158.54,162.18,165.43,,,Bachelor's,"Works with SQL and third/fourth generation languages in the design and implementation of systems and using database management systems. Possesses ability to assume increasing responsibilities in information engineering activities. Knowledgeable of applicable standards. Analyzes and studies complex information system requirements. Designs software tools and subsystems to support software reuse and domain analyses and manages their implementation. Manages software development and support using formal specifications, data flow diagrams, other accepted design techniques and computer Aided Software Engineering (CASE) tools. Provides input to estimate software development costs and schedule. Reviews existing programs and assists in making refinements, reducing operating time, and improving current techniques. Works independently under minimal supervision.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",152.38,155.43,158.54,162.18,165.43,,,1.0,152.38,155.43,158.54,162.18,165.43,,,1,152.38,155.43,158.54,162.18,165.43,,,1,0.02001575009843819,0.020009007270153673,0.02295950548757421,0.020039462325810827,,
112,Information Engineer 3,177.78,181.34,184.96,189.22,193.0,,,Bachelor's,"Performs information systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Implements information engineering projects, systems analysis, design and programming using CASE and IE tools and methods, systems planning, business information planning, and business analysis. Applies business process improvement practices to re-engineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis and modern business methods and performance measurement techniques. Assists in establishing standards for information systems procedures. Develops and applies organization-wide information models for use in designing and building integrated, shared software and database management systems. Constructs logical business improvement opportunities consistent with corporate Information Management guiding principles, cost savings, and open system architecture objectives. Possesses the ability to work independently.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",177.78,181.34,184.96,189.22,193.0,,,4.0,177.78,181.34,184.96,189.22,193.0,,,4,177.78,181.34,184.96,189.22,193.0,,,4,0.02002474969062888,0.019962501378625812,0.023032006920415175,0.019976746644117964,,
113,Information Engineer 4,203.2,207.26,211.4,216.27,220.59,,,Bachelor's,"Performs systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Manages the implementation of information engineering projects and performs systems analysis, design and programming selecting CASE or IE tools and methods, e.g., Oracle CASE, COOL:Gen CASE, I-CASE. Works in the client/server environment. Utilizes managerial and supervisory skills. Prepares written and oral communications, including giving formal presentations to different audiences. Applies an enterprise-wide set of disciplines for the planning, analysis, design and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Performs enterprise- wide strategic systems planning, business information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools; such as Integrated computer-Aided Software Engineering (I-CASE) tools. Applies reverse engineering and re-engineering disciplines to develop migration strategic and planning documents. Utilizes various methodologies, e.g., IDEF 0 process modeling and IDEF 1X data modeling. Provides daily supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",203.2,207.26,211.4,216.27,220.59,,,7.0,203.2,207.26,211.4,216.27,220.59,,,7,203.2,207.26,211.4,216.27,220.59,,,7,0.019980314960629932,0.019974910740133238,0.0230368968779565,0.019975031210986236,,
114,Information Engineer 5,228.58,233.15,237.81,243.28,248.15,,,Bachelor's,"Performs information systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Manages the implementation of information engineering projects and experience in systems analysis, design, and programming using CASE and IE tools and methods, e.g., Oracle CASE, IEF CASE, I-CASE. Works in the client/server environment. Utilizes managerial and supervisory skills. Prepares written and oral communications skills, including giving formal presentations to different audiences. Applies an enterprise-wide set of disciplines for the planning, analysis, design, and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Performs enterprise-wide strategic systems planning, business information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools; such as Integrated computer-Aided Software Engineering (I-CASE) tools. Applies reverse engineering and re-engineering disciplines to develop migration strategic and planning documents. Familiar with various methodologies, e.g., IDEF 0 process modeling and IDEF 1X data modeling. Provides daily supervision and technical guidance in software engineering techniques and automated support tools to supporting staff.",9,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",228.58,233.15,237.81,243.28,248.15,,,9.0,228.58,233.15,237.81,243.28,248.15,,,9,228.58,233.15,237.81,243.28,248.15,,,9,0.019993000262490127,0.019987132747158468,0.023001555863924977,0.020018086155869797,,
115,Information Security Specialist 1,167.5,170.85,174.26,178.27,181.84,,,Bachelor's,"Formulates and assesses I/T security policy to include business impact. Prepares security plans for employing enterprise-wide security architecture to include the design of cryptographic solutions. Develops integrated security services management. Executes security awareness training. Assesses and audits network penetration testing anti virus planning assistance, risk analysis and incident response. Provides security-engineering support for application development (including system security certifications and project evaluations). This may include the development, design and implementation of firewalls, and evaluation, review and test of security code. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",167.5,170.85,174.26,178.27,181.84,,,1.0,167.5,170.85,174.26,178.27,181.84,,,1,167.5,170.85,174.26,178.27,181.84,,,1,0.019999999999999966,0.019959028387474372,0.023011591874211063,0.02002580355640317,,
116,Information Security Specialist 2,176.94,180.48,184.09,188.32,192.09,,,Bachelor's,"Formulates and assesses I/T security policy to include business impact. Prepares security plans for employing enterprise-wide security architecture to include the design of cryptographic solutions. Develops integrated security services management. Executes security awareness training. Assesses and audits network penetration testing anti virus planning assistance, risk analysis and incident response. Provides security-engineering support for application development (including system security certifications and project evaluations). This may include the development, design and implementation of firewalls, and evaluation, review and test of security code. Experience with several architectures and platforms in an integrated environment.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",176.94,180.48,184.09,188.32,192.09,,,4.0,176.94,180.48,184.09,188.32,192.09,,,4,176.94,180.48,184.09,188.32,192.09,,,4,0.02000678195998639,0.020002216312056814,0.022977891248845618,0.020019116397621127,,
117,Principal Systems Developer,172.32,175.76,179.28,183.4,187.07,,,Bachelor's,"Principal Systems Developer duties include leading and directing work of consultants on large application development programs (including multiple large projects); scoping and planning of application development projects; providing consulting and/or periodic project reviews, conducting training classes on all phases of software engineering methodologies, and the implementation of software engineering. A Principal Systems Developer is an industry recognized expert in at least one area of the software engineering methodology and associated Technical Disciplines. A Principal Systems Developer applies software, hardware, and standard information technology skills in the analysis, specification, development, integration, and acquisition of systems. A Principal Systems Developer ensures these systems and applications are compliant with standards for open architectures, reference models, and profiles of standards. A Principal Systems Developer performs analysis and validation of software and hardware components to ensure the integration of these components into interoperable information management designs.",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",172.32,175.76,179.28,183.4,187.07,,,3.0,172.32,175.76,179.28,183.4,187.07,,,3,172.32,175.76,179.28,183.4,187.07,,,3,0.019962859795728864,0.02002730996813843,0.022980812137438668,0.020010905125408873,,
118,Program Manager 1,157.2,160.34,163.55,167.31,170.66,,,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",157.2,160.34,163.55,167.31,170.66,,,8.0,157.2,160.34,163.55,167.31,170.66,,,8,157.2,160.34,163.55,167.31,170.66,,,8,0.01997455470737923,0.020019957590121044,0.02298991134209716,0.020022712330404605,,
119,Program Manager 2,203.76,207.83,211.99,216.86,221.2,,,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experience of progressive accomplishment managing and implementing large, complex information technology systems. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",203.76,207.83,211.99,216.86,221.2,,,8.0,203.76,207.83,211.99,216.86,221.2,,,8,203.76,207.83,211.99,216.86,221.2,,,8,0.019974479780133596,0.020016359524611442,0.02297278173498752,0.020012911555842363,,
120,Program Manager 3,217.65,222.01,226.45,231.65,236.29,,,Bachelor's,"A Program Manager is the most senior position within the Citizant Consultant Ladder. This individual has broad management authority over very large projects and initiatives, which potentially span multiple accounts or customers. Typically, the Program Manager defines and directs projects at the highest level and is responsible for the long-term success of programmatic initiatives as defined by the senior management team of Citizant. A Program Manager has authority to manage program budgets, direct recruiting efforts and perform career planning and employee actions. A Program Manager is an expert in project management tools and methods.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",217.65,222.01,226.45,231.65,236.29,,,10.0,217.65,222.01,226.45,231.65,236.29,,,10,217.65,222.01,226.45,231.65,236.29,,,10,0.020032161727544153,0.019999099139678383,0.02296312651799522,0.020030218001294998,,
121,Project Manager 1,104.99,107.09,109.23,111.74,113.98,,,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",104.99,107.09,109.23,111.74,113.98,,,4.0,104.99,107.09,109.23,111.74,113.98,,,4,104.99,107.09,109.23,111.74,113.98,,,4,0.020001904943328017,0.01998319170790924,0.022979035063627126,0.020046536602828076,,
122,Project Manager 2,138.24,141.0,143.82,147.13,150.07,,,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",138.24,141.0,143.82,147.13,150.07,,,6.0,138.24,141.0,143.82,147.13,150.07,,,6,138.24,141.0,143.82,147.13,150.07,,,6,0.01996527777777771,0.019999999999999952,0.023014879710749565,0.019982328552980343,,
123,Project Manager 3,185.84,189.56,193.35,197.8,201.75,,,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",185.84,189.56,193.35,197.8,201.75,,,6.0,185.84,189.56,193.35,197.8,201.75,,,6,185.84,189.56,193.35,197.8,201.75,,,6,0.020017219113215662,0.019993669550538044,0.023015257305404796,0.019969666329625827,,
124,Project Manager 4,188.24,192.01,195.85,200.35,204.36,,,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",188.24,192.01,195.85,200.35,204.36,,,8.0,188.24,192.01,195.85,200.35,204.36,,,8,188.24,192.01,195.85,200.35,204.36,,,8,0.02002762430939217,0.019998958387584,0.02297676793464386,0.020014973795857347,,
125,Project Manager 5,190.45,194.25,198.14,202.7,206.75,,,Bachelor's,"A Project Manager possesses significant business, systems analysis and development experience, and brings this to bear by providing management and executive level services beyond software engineering methodologies and specific development technologies. A Project Manager has experience in planning and managing full life cycle development using a software engineering methodology, preparing and presenting executive briefings, and creating innovative yet practical solutions. Project Manager duties include directing work of consultants on large application development programs, which could include multiple large projects; scoping and planning of Application development projects; providing consulting and/or periodic project reviews; conducting training classes on all phases of software engineering methodologies and the implementation of software engineering methodologies. A Project Manager is an industry recognized expert in at least one area of a software engineering methodology and associated Technical Discipline.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",190.45,194.25,198.14,202.7,206.75,,,10.0,190.45,194.25,198.14,202.7,206.75,,,10,190.45,194.25,198.14,202.7,206.75,,,10,0.01995274350223162,0.020025740025739956,0.023014030483496532,0.019980266403552105,,
126,QA/CM/Test & Evaluation Specialist 1,105.06,107.16,109.3,111.81,114.05,,,Bachelor's,"Provides technical and administrative support for personnel performing software development tasks, including the review of work products for correctness, adherence to design concepts and to user standards, review of program documentation to assure government standards/requirements are adhered to, configuration management for all hardware and software, and for progress in accordance with schedules. Coordinates with the Program Manager and/or Quality Assurance/Configuration Manager to ensure problem resolution and user satisfaction. Makes recommendations, if needed, for approval of systems installations. Prepares milestone status reports and deliveries/presentations on the system concept to colleagues, end user representatives. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",105.06,107.16,109.3,111.81,114.05,,,1.0,105.06,107.16,109.3,111.81,114.05,,,1,105.06,107.16,109.3,111.81,114.05,,,1,0.019988577955453973,0.01997013811123554,0.022964318389753022,0.020033986226634423,,
127,QA/CM/Test & Evaluation Specialist 2,129.53,132.12,134.76,137.86,140.62,,,Bachelor's,"Develops, implements, and maintains quality assurance/configuration management programs in support of a variety of software, hardware, and services. Establishes standards for life cycle, documentation, development methods, testing, and maintenance. Develops and defines major and minor characteristics of quality/configuration management (including metrics and scoring parameters) and determines requisite quality control/configuration management resources for an actual task order. Conducts or participates in formal and informal reviews at predetermined points throughout the system life cycle. Serves as liaison between Program Management and other functional groups to resolve issues regarding quality assurance/configuration management. Reviews and evaluates software products and services for adherence to government directives, standards, and guidelines. May provide task direction and guidance to less experienced team members. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Generally regarded as an expert in their particular discipline or technology.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",129.53,132.12,134.76,137.86,140.62,,,4.0,129.53,132.12,134.76,137.86,140.62,,,4,129.53,132.12,134.76,137.86,140.62,,,4,0.01999536786844749,0.01998183469573105,0.02300385871178408,0.020020310459886774,,
128,QA/CM/Test & Evaluation Specialist 3,150.53,153.54,156.61,160.22,163.42,,,Bachelor's,"Develops, implements, and maintains quality assurance/configuration management programs in support of a variety of software, hardware, and services. Establishes standards for life cycle, documentation, development methods, testing, and maintenance. Develops and defines major and minor characteristics of quality/configuration management (including metrics and scoring parameters) and determines requisite quality control/configuration management resources for an actual task order. Conducts or participates in formal and informal reviews at predetermined points throughout the system life cycle. Serves as liaison between Program Management and other functional groups to resolve issues regarding quality assurance/configuration management. Reviews and evaluates software products and services for adherence to government directives, standards, and guidelines. May provide daily supervision and direction to support staff. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Generally regarded as an expert in their particular discipline or technology. Experience with several architectures and platforms in an integrated environment. Provides supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",150.53,153.54,156.61,160.22,163.42,,,7.0,150.53,153.54,156.61,160.22,163.42,,,7,150.53,153.54,156.61,160.22,163.42,,,7,0.01999601408357132,0.019994789631366562,0.023050890747717163,0.019972537760579133,,
129,Security Analyst 1,203.2,207.26,211.4,216.27,220.59,,,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses which also includes risk assessment.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",203.2,207.26,211.4,216.27,220.59,,,4.0,203.2,207.26,211.4,216.27,220.59,,,4,203.2,207.26,211.4,216.27,220.59,,,4,0.019980314960629932,0.019974910740133238,0.0230368968779565,0.019975031210986236,,
130,Security Analyst 2,220.12,224.52,229.01,234.28,238.96,,,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses that also includes risk assessment.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",220.12,224.52,229.01,234.28,238.96,,,6.0,220.12,224.52,229.01,234.28,238.96,,,6,220.12,224.52,229.01,234.28,238.96,,,6,0.019989096856260248,0.019998218421521382,0.023012095541679448,0.019976096977975102,,
131,Security Analyst 3,253.98,259.06,264.24,270.32,275.72,,,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses that also includes risk assessment.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",253.98,259.06,264.24,270.32,275.72,,,8.0,253.98,259.06,264.24,270.32,275.72,,,8,253.98,259.06,264.24,270.32,275.72,,,8,0.02000157492715967,0.01999536786844749,0.02300938540720551,0.019976324356318565,,
132,Security Architect 1,296.31,302.24,308.28,315.37,321.68,,,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses which also includes risk assessment. Provides supervision and direction to staff.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",296.31,302.24,308.28,315.37,321.68,,,10.0,296.31,302.24,308.28,315.37,321.68,,,10,296.31,302.24,308.28,315.37,321.68,,,10,0.020012824406871205,0.019984118581259806,0.022998572726093267,0.02000824428449124,,
133,Senior Systems Developer,154.16,157.25,160.39,164.08,167.36,,,Bachelor's,"Senior Systems Developer duties may include directing work of Systems Developers on large application development projects; scoping and planning of application development projects; providing consulting and/or periodic project reviews; conducting training classes on all phases of software engineering methodologies and the implementation of software engineering; is an expert in at least one area of a software engineering methodology. A Senior Systems Developer analyzes information requirements and evaluates analytically and systematically problems of workflow, organization, and planning and develops appropriate corrective action. A Senior Systems Developer develops and applies organization-wide information models for designing and building integrated shared software and database management systems.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",154.16,157.25,160.39,164.08,167.36,,,5.0,154.16,157.25,160.39,164.08,167.36,,,5,154.16,157.25,160.39,164.08,167.36,,,5,0.020044110015568262,0.019968203497615175,0.023006421846748715,0.019990248659190645,,
134,Software Engineer 1,126.98,129.52,132.11,135.15,137.85,,,Associate's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",126.98,129.52,94.325,95.845,97.195,56.54,56.54,0.5,126.98,129.52,132.11,135.15,137.85,56.54,56.54,1,126.98,129.52,56.54,56.54,56.54,56.54,56.54,0,0.020003150102378377,0.019996911673872787,0.02301112709106042,0.019977802441731324,,
135,Software Engineer 2,147.31,150.26,153.26,156.79,159.93,,,Associate's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 2 maintains a broad knowledge of software engineering and a demonstrated ability to independently work on complex assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",147.31,150.26,110.55499999999999,112.32,113.89,67.85,67.85,1.5,147.31,150.26,153.26,156.79,159.93,67.85,67.85,2,147.31,150.26,67.85,67.85,67.85,67.85,67.85,1,0.02002579594053349,0.01996539331824837,0.0230327547957719,0.020026787422667357,,
136,Software Engineer 3,165.14,168.44,171.81,175.76,179.28,,,Bachelor's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 3 maintains a deep understanding of architecture, techniques and management processes across a broad spectrum of systems, applications and requirements.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",165.14,168.44,171.81,175.76,179.28,,,4.0,165.14,168.44,171.81,175.76,179.28,,,4,165.14,168.44,171.81,175.76,179.28,,,4,0.019983044689354558,0.020007124198527692,0.022990512775740577,0.02002730996813843,,
137,Software Engineer 4,189.64,193.43,197.3,201.83,205.87,,,Bachelor's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 4 is an expert in large and complex information technology systems implementation. Expertise is applied across multiple information technology platforms and the integration of diverse architectures.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",189.64,193.43,197.3,201.83,205.87,,,6.0,189.64,193.43,197.3,201.83,205.87,,,6,189.64,193.43,197.3,201.83,205.87,,,6,0.01998523518245107,0.020007237760430154,0.022959959452610243,0.020016845860377504,,
138,Strategic Planning Analyst 1,125.63,128.14,130.7,133.71,136.38,,,Bachelor's,"Participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating between multiple project teams to ensure enterprise-wide integration of reengineering efforts. Assignments are generally of limited scope and reviewed by more experienced analysts. (May include specific knowledge of paperless environment and electronic document management systems.)",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",125.63,128.14,130.7,133.71,136.38,,,1.0,125.63,128.14,130.7,133.71,136.38,,,1,125.63,128.14,130.7,133.71,136.38,,,1,0.019979304306296197,0.019978148899641036,0.023029839326702523,0.019968588736818393,,
139,Strategic Planning Analyst 2,163.65,166.92,170.26,174.18,177.66,,,Bachelor's,"Confers with client management to understand the client's strategic goals and participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating multiple project teams to ensure enterprise-wide integration of reengineering efforts. (May include specific knowledge of paperless environment and electronic document management systems.)",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",163.65,166.92,170.26,174.18,177.66,,,3.0,163.65,166.92,170.26,174.18,177.66,,,3,163.65,166.92,170.26,174.18,177.66,,,3,0.01998166819431703,0.0200095854301462,0.023023610947962035,0.019979331725800836,,
140,Strategic Planning Analyst 3,197.43,201.37,205.4,210.13,214.33,,,Bachelor's,"Confers with client management to understand the client's strategic goals and participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating multiple project teams to ensure enterprise-wide integration of reengineering efforts. (May include specific knowledge of paperless environment and electronic document management systems.) Provides supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",197.43,201.37,205.4,210.13,214.33,,,7.0,197.43,201.37,205.4,210.13,214.33,,,7,197.43,201.37,205.4,210.13,214.33,,,7,0.019956440257306376,0.020012911555842484,0.02302823758519956,0.01998762670727653,,
141,Systems & Help Desk Administrator 1,83.51,85.18,86.88,88.88,90.66,,,Bachelor's,"Systems Developer duties include providing project consulting and support; conducting training classes on all phases of software engineering methodologies and the subsequent implementation of the related systems; with a specialization in at least one area of the development life cycle. Systems Developers are capable of leading project teams through all stages of development. A Systems Developer manages software development and support using formal specifications, data flow diagrams, other accepted design techniques, and/or Computer-Aided Software Engineering (CASE) tool software. A Systems Developer analyzes and studies complex system requirements, designs specifications to code, and integrates and tests software components. A Systems Developer designs software tools and subsystems to support software reuse and domain analyses, and manages their implementation. Systems Developers review existing programs and assist in making refinements, reducing operating time, and improving current techniques. Systems Developers manage software development and supervise software configuration management.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)",83.51,85.18,86.88,88.88,90.66,,,1.0,83.51,85.18,86.88,88.88,90.66,,,1,83.51,85.18,86.88,88.88,90.66,,,1,0.019997605077236278,0.0199577365578773,0.02302025782688766,0.020027002700270042,,
