,Role,11/21/18 - 11/20/19,11/21/19 - 11/20/20,11/21/20 - 11/20/21,11/21/21 - 11/20/22,11/21/22 - 11/20/23,11/21/23 - 11/20/24,Education,Functional Responsibility,Years of Experience,Company
51,Sr. Computer Systems Analyst,117.54,120.05,122.62,125.24,127.92,130.66, Bachelor's,"Analyzes and evaluates user needs and identifies resources required for each task to determine functional requirements; conceptualizes, develops, and implements complex systems designed to meet client requirements; defines systems objectives and prepares system design specifications to meet requirements; designs, develops, implements, and tests new systems or modifies existing systems that meet the user’s needs; codes applications and tests to software requirements; writes or updates software specifications; analyzes procedures and systems to refine their formulation and convert to programmable formats; analyzes data requirements to determine data source and destinations; coordinates with client to define problem, determine data availability, report requirements, and resolve system design problems; creates logical data models based on functional requirements; performs quality review of specifications for internal and external delivery; troubleshoots and provides technical support and solutions to users; develops analytical tools for use in the design and redesign of programs as assigned; may serve as a technical team or task lead.",8,General Dynamics Information Technology
52,Principal Computer Systems Analyst,142.03,145.07,148.17,151.34,154.58,157.89, Bachelor's,"Analyzes and evaluates user needs and identifies resources required for each task to determine functional requirements; conceptualizes, develops, and implements complex systems designed to meet client requirements; defines systems objectives and prepares system design specifications to meet requirements; designs, develops, implements, and tests new systems or modifies existing systems that meet the user’s needs; develops and executes test plans; codes applications and tests to software requirements; writes or updates software specifications as necessary; writes technical project documentation including detailed design documents and program specifications; analyzes procedures and systems to refine their formulation and convert to programmable formats; analyzes data requirements to determine data source and destinations; coordinates with client to define problem, determine data availability, report requirements, and resolve system design problems; creates logical data models based on functional requirements; performs quality review of specifications for internal and external delivery; troubleshoots and provides technical support and solutions to users; develops analytical tools for use in the design and redesign of programs as assigned; may serve as a technical task or team lead.",10,General Dynamics Information Technology
53,Legacy System Analyst,116.5,118.99,121.54,124.14,126.8,129.51, HS,"Analyze requirements for maintaining, modifying or converting unique application systems that are deemed “legacy” systems. Provide guidance and technical/functional advice to programmers. Provide unique knowledge of the history of changes to the “legacy” applications. Develop plans to migrate “legacy” systems to new technologies and/or new functionality. Analyze and document “legacy” system functionality to identify mandatory requirements to be fulfilled by migration system candidates. May also participate in the analysis and evaluation of migration system candidates. May also participate in designing, developing and implementing changes to “legacy” systems to accommodate such requirements as interim interfaces to migration systems and/or conversion to migration systems.",0,General Dynamics Information Technology
54,Jr. Functional Analyst/Specialist,65.31,66.71,68.14,69.59,71.08,72.6, Bachelor's,Analyzes user needs and performs research and functional analysis on a variety of projects; works under direct supervision; does related work as required.,1,General Dynamics Information Technology
55,Functional Analyst/Specialist,77.25,78.9,80.59,82.32,84.08,85.88, Bachelor's,Analyzes user needs to determine functional requirements. Performs functional allocation to identify required tasks and their interrelationships. Identifies resources required for each task.,5,General Dynamics Information Technology
56,Sr. Functional Analyst/Specialist,99.37,101.49,103.67,105.88,108.15,110.46, Bachelor's,Analyze user needs to determine functional requirements. Performs functional allocation to identify required tasks and their interrelationships. Identifies resources required for each task. Provides daily supervision and direction to support staff.,7,General Dynamics Information Technology
57,Principal Functional Analyst/Specialist,104.26,106.49,108.77,111.1,113.48,115.91, Master's,"Analyzes user needs and performs research and functional analysis on a variety of projects at a highly technical level; may have supervisory responsibility; serves as technical advisor to clients in assigned subject areas’ recommends functional changes, and identifies areas for further investigation; generates recommendations in the form of technical briefings, reports, and other major documents provided to senior level client personnel; may serve as a technical team or task lead.",8,General Dynamics Information Technology
58,Sr. Principal Functional Analyst/Specialist,145.05,148.16,151.33,154.56,157.87,161.25, Master's,"Analyzes user needs and performs research and functional analysis on a variety of projects at a highly technical level; may have supervisory responsibility; serves as technical advisor to clients in assigned subject areas; recommends functional changes, and identifies areas for further investigation; generates recommendations in the form of technical briefings, reports, and other major documents provided to senior level client personnel; serves as primary client liaison and coordinates with sub-contractors, government personnel, and technical experts; serves as technical team or task lead.",10,General Dynamics Information Technology
59,Data Management Specialist,115.85,118.33,120.86,123.45,126.09,128.79, Bachelor's,"Provides highly technical expertise in the use of DBMS. Evaluates and recommends available DBMS products to support validated user requirements. Defines file organization, indexing methods, and security procedures for specific user applications.",6,General Dynamics Information Technology
60,Data Administrator,111.3,113.68,116.11,118.59,121.13,123.72, Bachelor's,"Provides highly technical expertise and guidance in the design, implementation, operation and maintenance of database management systems (DBMS). Evaluates and recommends available DBMS products after matching requirements with system capabilities. Determines file organization, indexing methods, and security procedures for specific applications. Controls the design and use of databases. Controls the global view of databases, controls the access to the databases, assures the safekeeping of the databases (from accidental or intentional damage or loss), and monitors the use of databases. Must be capable of defining all required database administration policies, procedures, standards, and guidelines. Is an authority on the design of databases and the use of database management systems. Evaluates and recommends available DBMS products after matching requirements with system capabilities. Prepares and delivers presentations on DBMS concepts.",6,General Dynamics Information Technology
61,Data Manager,142.96,146.02,149.15,152.34,155.6,158.93, Bachelor's,"Manages the development of database projects. Plans and budgets staff and database resources. When necessary, reallocates resources to maximize benefits. Prepares and delivers presentations on Database Management Systems (DBMS) concepts. Provides daily supervision and direction to support staff.",7,General Dynamics Information Technology
62,Computer Operations Manager,86.31,88.16,90.04,91.97,93.94,95.95, Associate's,"Manages the work of computer operations personnel; identifies processing requirements and schedules job streams for computer runs; responsible for security and routing of input and output data, problem resolution and restart/recovery, interpreting technical documentation standards and preparation of documentation according to standards; interfaces with client and/or other government personnel; determines appropriate course of action in case of malfunction and confers with and directs staff as warranted.",6,General Dynamics Information Technology
63,Sr. Computer Operations Manager,126.69,129.4,132.17,135.0,137.89,140.84, Bachelor's,"Manages and directs the operations and support of the computer systems and peripheral equipment in large scale or multi-shift operations; supervises and directs the work of computer operations personnel; identifies processing requirements and schedules job streams for computer runs; responsible for the security and routing of input and output data, problem isolation and restart/recovery, interpreting technical documentation standards and preparation of documentation according to standards, and interfacing with client and/or government personnel; determines appropriate course of action in case of malfunction and confers with and directs staff as warranted.",8,General Dynamics Information Technology
64,Communications Engineer,115.67,118.15,120.68,123.26,125.9,128.59, Bachelor's,"Provides technical support for telecommunications activities including planning, designing, installing, and maintaining large telecommunications networks. Develops, operates, and maintains voice, video, and/or data communications systems. Applies telecommunications engineering principles and theory to propose design and configuration alternatives. Evaluates existing communications systems to identify deficiencies and performance improvements. Consults with user personnel to ensure that problems have been properly identified and that the solution will meet the requirements. Analyzes system performance, usage and traffic flows, accesses and interfaces, transmission techniques, and protocols. Performs system analyses and feasibility studies concerning communications and communication networks. Prepares studies and gives presentations on communications concepts. Provides technical guidance to other personnel concerning data communications requirements. Participates in preparing specifications for acquiring commercially available data communications networks.",6,General Dynamics Information Technology
65,Sr. Communications Engineer,132.5,135.34,138.24,141.19,144.22,147.3, Bachelor's,"Provides technical direction for telecommunications activities including planning, designing, installing, and maintaining large telecommunications networks. Develops, operates, and maintains voice, video, and/or data communications systems. Applies telecommunications engineering principles and theory to propose design and configuration alternatives. Evaluates existing communications systems to identify deficiencies and performance improvements. Consults with user personnel to ensure that problems have been properly identified and that the solution will meet the requirements. Analyzes system performance, usage and traffic flows, accesses and interfaces, transmission techniques, and protocols. Performs system analyses and feasibility studies concerning communications and communication networks. Prepares studies and gives presentations on communications concepts. Provides technical guidance to other personnel concerning data communications requirements. Participates in preparing functional specifications for acquiring commercially available data communications networks.",10,General Dynamics Information Technology
66,Jr. Network Engineer,77.78,79.45,81.15,82.88,84.66,86.47, Bachelor's,"Performs basic engineering work concerned with the analysis, planning, designing, evaluating, selecting, and upgrading of network systems; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; configures systems to user environments; assists in telecommunications activities including planning, designing, installing, and maintaining large telecommunications networks; assists in the maintenance and operation of voice, video, and data communications systems; supports the acquisition of hardware and software as well as subcontractor services as needed.",0,General Dynamics Information Technology
67,Network Engineer,87.04,88.9,90.8,92.75,94.73,96.76, Bachelor's,"Analyzes local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites and configuring communication media with concentrators, bridges, and other devices; resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like; configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; plans network layout design; may administer network security.",2,General Dynamics Information Technology
68,Staff Network Engineer,108.03,110.34,112.7,115.11,117.57,120.09, Bachelor's,"Analyzes local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites and configuring communication media with concentrators, bridges, and other devices; resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like; configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; plans network layout design; may administer network security; may perform database administration; may provide guidance and training to lower level personnel and serve as technical team or task lead.",5,General Dynamics Information Technology
69,Sr. Network Engineer,117.59,120.11,122.68,125.3,127.98,130.72, Master's,"Analyzes local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites and configuring communication media with concentrators, bridges, and other devices; resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like; configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; plans network layout design; may administer network security; may perform database administration; may supervise and direct the work of lower level personnel; may serve as technical team or task lead.",8,General Dynamics Information Technology
70,Principal Network Engineer,159.19,162.59,166.07,169.63,173.26,176.97, Master's,"Provides expert level analysis of local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites and configuring communication media with concentrators, bridges, and other devices; resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like; configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; directs various testing and the documentation of results; plans network layout design; may administer network security; may perform database administration; may supervise and direct the work of lower level personnel; serves as technical team or task lead.",10,General Dynamics Information Technology
71,Network Administrator,100.43,102.58,104.78,107.02,109.31,111.65, Bachelor's,"Supports, installs, maintains, troubleshoots, and coordinates the usage of local and wide area networks (LAN and WAN), electronic mail, telecommunications, and PC based systems and related software; evaluates hardware and software, including peripheral, output, and telecommunications equipment; sets up and administers security procedures; troubleshoots problems; recommends and implements LAN policies and procedures and ensures adherence to security procedures; trains users on LAN operations and procedures.",7,General Dynamics Information Technology
72,Sr. Network Administrator,124.59,127.26,129.98,132.76,135.6,138.51, Bachelor's,"Responsible for the planning, design, acquisition, installation, and maintenance of LAN and WAN, electronic mail, telecommunications, and PC based systems and related software; evaluates hardware and software, including peripheral, output, and telecommunications equipment; sets up and administers security procedures; troubleshoots problems; establishes and implements LAN policies and their conformance; coordinates activities of LAN support personnel, providing guidance on common networking issues; assesses vendor products; manages network performance, troubleshoots problems, and maintains network security.",8,General Dynamics Information Technology
73,Network/Computer Support Specialist,82.05,83.8,85.6,87.43,89.3,91.21, Bachelor's,"Installs, configures, and upgrades computer hardware; provides end-user software troubleshooting and support; provides network troubleshooting and support; diagnoses hardware, software and operator problems and corrects them; analyzes IT infrastructure processes and makes recommendations for improvement; involved in IT infrastructure planning; recommends Business Process improvements; leads deployment activities; may provide end-user training; involved in the development of larger Business Applications and Exchange, Web Applications, and Virus Software implementation; may supervise Network/Computer Support Technicians.",3,General Dynamics Information Technology
74,Computer System/Network Integration Engineer,89.15,91.05,93.0,94.99,97.02,99.1, HS,"Performs system and network analysis, design and administration. Designs computer and communications architectures, provides timely technical support, and designs hardware/software solutions for communications architectures.",0,General Dynamics Information Technology
75,Sr. Telecommunications Analyst,83.05,84.83,86.64,88.5,90.39,92.33, Associate's,"Evaluates, designs, and maintains existing or proposed telecommunications systems; analyzes the telecommunications needs of the user and recommends solutions; designs, develops, and tests telecommunications software solutions; prepares detailed specifications and flow charts for implementation of new internal programs or modification to vendor software; coordinates installation of equipment; monitors the operations of telecommunications systems and services of vendors; provides end user training of telecommunications features and functionality; may provide guidance and technical training to lower level analysts.",3,General Dynamics Information Technology
76,Communications Network Manager,104.56,106.8,109.08,111.42,113.8,116.24, Bachelor's,Schedules conversions and cutovers. Oversees network control center. Supervises maintenance of systems. Coordinates with all responsible users and sites. Supervises staff.,6,General Dynamics Information Technology
77,Hardware Specialist,88.9,90.8,92.75,94.73,96.76,98.83, Bachelor's,Determines feasible hardware alternatives in client server environments. Reviews computer systems in terms of capabilities and makes recommendations for improved utilization. Prepares or directs preparation of reports concerning hardware. Prepares or participates in preparing functional requirements and specifications for hardware acquisitions.,5,General Dynamics Information Technology
78,Quality Assurance/IV&V Analyst,79.61,81.31,83.05,84.83,86.64,88.5, Bachelor's,Assists in the review and evaluation of software products and systems to ensure adherence to customer quality standards; develops software/systems testing procedures and conducts tests; analyzes and documents IV&V issues; presents IV&V results; works under general supervision.,2,General Dynamics Information Technology
79,Quality Assurance/IV&V Specialist,82.4,84.16,85.96,87.8,89.68,91.6, Bachelor's,Assists in the evaluation of software and associated documentation. Participates in formal and informal reviews to determine quality; presents IV&V results and troubleshoots technical problems; makes recommendations to improve overall quality. ,4,General Dynamics Information Technology
80,Quality Assurance/IV&V Manager,133.59,136.45,139.37,142.35,145.39,148.51, Bachelor's,"Organizes and maintains all quality assurance and IV&V documentation required. Responsible for ensuring compliance with recognized standards and practices. Reviews all documentation for completeness, accuracy, and correctness. Supports the test and integration personnel as a witness to testing requirements; presents IV&V results and troubleshoots technical problems; makes recommendations to improve overall quality. Certifies that deliverables have met all quality requirements.",7,General Dynamics Information Technology
81,Configuration Management Specialist,99.39,101.52,103.69,105.91,108.17,110.49, Bachelor's,"Responsible for configuration management activities including product identification, change control, status accounting, operation of the program support library, and development and monitoring of equipment/system acceptance plans. Evaluates and selects configuration management tools and standards. Coordinates with users and systems development personnel on releases of both system-level software and applications software. Verifies the completeness and accuracy of release libraries before implementation and ensures that correct versions of programs are included in specified releases. Prepares configuration management plans and procedures. Responsible for configuration management of requirements, design, and code. Operates and manages program support library. Monitors library structure and procedures to assure system integrity, including procedures for collection, release, production, test, and emergency libraries and the movement/migration of components between libraries. Monitors end-item acceptance plans. Will supervise lower level personnel. Must have demonstrated capability for oral and written communications.",5,General Dynamics Information Technology
82,Sr. Configuration Management Specialist,120.25,122.82,125.45,128.13,130.88,133.68, Bachelor's,"Conducts periodic site inventory in order to create and maintain inventories of equipment, software, and/or systems; prepares, maintains and inventories associated technical drawings for assigned projects; researches data, and creates and maintains inventory and other databases for assigned projects; prepares configuration change requests and verifies, tracks, and documents configuration changes; performs logistic-related tasks like shipping/receiving, tracking, and disposal of equipment, software, and/or systems; coordinates equipment/software utilization among individual users; provides documentation support for assigned projects; performs quality assurance checks on drawings prepared by other configuration management specialists; may serve as a team or task lead; may supervise and direct the work of other configuration management specialists; provides training on configuration management processes, software, and/or systems.",7,General Dynamics Information Technology
83,Training Specialist/Instructor,74.91,76.52,78.15,79.83,81.54,83.28, Bachelor's,"Conducts the research necessary to develop and revise training courses. Develops and revises these courses and prepares appropriate training catalogs. Prepares all instructor materials (course outline, background material, and training aids). Prepares all student materials (course manuals, workbooks, handouts, completion certificates, and course critique forms). Trains personnel by conducting formal classroom courses, workshops and seminars.",4,General Dynamics Information Technology
84,Sr. Training Specialist/Instructor,99.23,101.35,103.52,105.74,108.0,110.31, Bachelor's,"Conducts the research necessary to develop and revise training courses and prepares appropriate training catalogs. Prepares all instructor materials (course outline, background material, and training aids). Prepares all student materials (course manuals, workbooks, handouts, completion certificates, and course critique forms). Trains personnel by conducting formal classroom courses, workshops, and seminars. Provides daily supervision and direction to staff.",6,General Dynamics Information Technology
85,Training Specialist,74.91,76.52,78.15,79.83,81.54,83.28, Associate's,Designs training objectives; develops computer-based training programs for assigned software; designs courseware and structures training classes; creates lesson text; provides documentation for software training; designs program authoring systems; creates final version of training programs; presents training programs to users; designs program flowcharts; may serve as a team lead.,3,General Dynamics Information Technology
86,Sr. Training Specialist,99.12,101.25,103.41,105.63,107.89,110.19, Associate's,"Defines training requirements and analyzes system software changes; develops computer-based training objectives and methodologies; coordinates with subject matter experts to design training strategy; designs courseware, including structuring training classes; creates lesson text; provides documentation for software training; tests training programs and edits for effectiveness, creates final version; designs program authoring systems; presents training programs to users, validates and evaluates training effectiveness; designs program flowcharts; may develop multi-media training as required; conducts research into new training, educational, and multimedia technologies; may serve as a team or task lead.",7,General Dynamics Information Technology
87,Principal Training Specialist,119.57,122.13,124.75,127.42,130.14,132.93, Associate's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer-based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content. Also provides guidance and work leadership to lower-level personnel and may serve as technical team or task lead.",10,General Dynamics Information Technology
88,Testing and Validation Specialist,68.29,69.75,71.25,72.77,74.33,75.92, Bachelor's,"Designs and develops assessment instruments and/or strategies to meet training requirements; conducts analysis of training requirements (needs, job, task analysis); interviews subject matter experts or incumbents to collect information; develops relevant and measurable assessment criteria, standards, and methodologies; designs reliable and valid assessment materials; gathers data and compiles information into documents related to assessment.",0,General Dynamics Information Technology
89,Principal Testing and Validation Specialist,108.12,110.44,112.8,115.21,117.68,120.2, Master's,"Designs and develops assessment instruments and/or strategies to meet training requirements; conducts analysis of training requirements (needs, job, task analysis); interviews subject matter experts or incumbents to collect information; develops relevant and measurable assessment criteria, standards, and methodologies; designs reliable and valid assessment materials; prepares reports and technical documentation related to assessment; works on complex analysis or test development projects. Serves as a technical team/task lead and may have supervisory responsibility.",5,General Dynamics Information Technology
90,Instructional System Designer,85.85,87.69,89.57,91.48,93.44,95.44, Bachelor's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content.",2,General Dynamics Information Technology
91,Sr. Instructional System Designer,102.18,104.37,106.6,108.88,111.21,113.59, Master's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content; may provide guidance and work leadership to lower-level personnel.",5,General Dynamics Information Technology
92,Staff Graphics Design Specialist,77.56,79.22,80.91,82.64,84.41,86.22, Associate's,"Performs a wide variety of graphics/illustration activities to produce brochures, briefings, displays, and other materials; involved in all aspects of graphics/illustration projects from conceptualization and development to final presentation; may act as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design.",5,General Dynamics Information Technology
93,Sr. Graphics Design Specialist,89.44,91.35,93.31,95.3,97.34,99.43, Associate's,"Performs high-level computer graphic design activities to produce brochures, briefings, displays, and other materials; involved in all aspects of graphics/illustration projects from conceptualization and development to final presentation; may act as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design; provides technical training and guidance to lower-level graphics personnel and may act as a team or task lead.",8,General Dynamics Information Technology
94,Principal Graphics Design Specialist,108.12,110.44,112.8,115.21,117.68,120.2, Associate's,"Provides full supervision and training for graphic design personnel, directing the production of graphics projects from design through final presentation; acts as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design; acts as a team or task lead.",9,General Dynamics Information Technology
95,Contract Administrator,77.94,79.61,81.32,83.06,84.83,86.65, Bachelor's,"Performs all duties of contract administration, including negotiation, correspondence, documentation, certification, financial reporting, and product delivery; implements subcontract administration procedures; negotiates contract terms from proposal stage to project close-out in accordance with relevant regulations; prepares and submits proposals including pricing and scheduling details and coordination of requirements; prepares consulting agreements; modifies contract schedules and participates in vendor reseller agreement negotiations when required; ensures timely processing of technical reports and deliverables; collects data for clients as requested.",2,General Dynamics Information Technology
96,Sr. Contract Administrator,104.56,106.8,109.08,111.42,113.8,116.24, Bachelor's,"Performs all duties of contract administration, including negotiation, correspondence, documentation, certification, financial reporting, and product delivery for complex contracts; implements subcontract administration procedures; negotiates contract terms from proposal stage to project close-out in accordance with relevant regulations; coordinates approval of negotiations, contracts, and subcontracts with appropriate management staff; provides advice and interpretation of contract requirements; reviews solicitation requests to ensure compliance with terms and conditions; prepares and submits cost proposals including pricing and scheduling details, coordination of requirements, and cost proposal risk assessment; prepares responses to certifications and representations; prepares consulting agreements; modifies contract schedules and participates in vendor reseller agreement negotiations when required; ensures timely processing of technical reports and deliverables; coordinates with program managers to ensure contract requirements are fulfilled; collects data for clients as requested; may provide work leadership to lower level contracts personnel.",5,General Dynamics Information Technology
97,Program Management Specialist,75.63,77.25,78.9,80.59,82.32,84.08, Bachelor's,"Responsible for management, performance and completion of projects associated with a contract program; collects and evaluates data for monitoring development and lifecycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages program staff; prepares management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",3,General Dynamics Information Technology
98,Sr. Program Management Specialist,99.69,101.83,104.01,106.23,108.51,110.83, Bachelor's,"Responsible for management, performance and completion of significant projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages and coordinates projects of considerable scope and magnitude; manages program staff; oversees the development of design concepts and test criteria; prepares management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",6,General Dynamics Information Technology
99,Principal Program Management Specialist,114.91,117.37,119.88,122.45,125.07,127.75, Bachelor's,"Responsible for management, performance and completion of major projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages and directs, with full authority, all phases of a program from inception to completion; manages program staff; oversees the development of design concepts and test criteria; reviews project and program schedules and plans and reports on alternative courses of action and potential impacts; directs, prepares and coordinates proposal preparation, management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",8,General Dynamics Information Technology
100,Sr. Documentation Specialist,93.57,95.57,97.61,99.7,101.84,104.02, Associate's,"Collects and organizes information required for preparation of user’s manuals, training materials, installation guides, and reports at a complex level; researches and learns the assigned system; interviews key personnel; writes materials; performs detailed edits of contract deliverables, proposals, brochures, press releases, and other materials to ensure technical accuracy, consistency, and adherence to specified content and format; participates in the writing, design, and development of marketing brochures, advertisements, news releases, feature articles, conference programs and proceedings, public relations announcements, newsletters, and other materials; designs, develops, produces, maintains, and manages client web sites as assigned; rewrites technical materials and coordinates with technical personnel to ensure accuracy; compiles and collects information for the preparation of technical proposals; Creates multi-media presentation materials, including slides; may participate in the coordination of and attend various conferences and meetings; may serve as a team lead.",8,General Dynamics Information Technology
101,Technical Editor,98.0,100.1,102.24,104.43,106.66,108.94, Bachelor's,"Prepares and edits a wide variety of complex technical materials for publication, including user’s manuals, training materials, installation guides, proposals, and reports; reviews, researches, and edits information for preparation of contract deliverables; provides support to the creation of proposals and multi-media presentation materials, including slides; responsible for the coordination of multiple aspects of document publication; participates in the design and development of marketing brochures, conference programs and proceedings, public relations announcements, and other materials when requested; may supervise and direct the work of word processing, graphics and/or technical writing staff; coordinates and attends various conferences and meetings; plans budgets, schedules and priority of work for publications projects.",5,General Dynamics Information Technology
102,Imagery Analyst,108.96,111.3,113.68,116.11,118.59,121.13, Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information within Earth Observation Services. Assists with development of analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Works with scientists and other technical experts to design and develop statistical analyses methodologies. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",2,General Dynamics Information Technology
103,Imagery Sr. Analyst,125.3,127.98,130.72,133.52,136.37,139.29, Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintains analytical procedures to meet changing requirements and ensure maximum operational success within Earth Observation Services. Collects data using a combination of standard intelligence methods and business processes. Performs and manages data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",5,General Dynamics Information Technology
104,Imagery Principal Analyst,144.54,147.63,150.79,154.02,157.31,160.68, Bachelor's,"Prepares and reviews assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops, supervises, and maintains analytical procedures to meet changing requirements and ensure maximum operational success. Oversees the collection of data using a combination of standard intelligence methods and business processes. Manages data collection, analysis, interpretation, and management duties. Delivers presentations that reflect the results of the data analysis. Develops and provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",8,General Dynamics Information Technology
105,Imagery Sr. Principal Analyst,191.18,195.27,199.45,203.72,208.08,212.53, Master's," Conducts Multi-INT research, populates intelligence databases, and produces written, graphic, and oral intelligence products. Prepares expert assessments of current threats and trends based on sophisticated GEOINT collection, research, and analysis of classified and unclassified imagery. Understands the DOD and Intelligence Community (IC) reporting and classification standards. Develops and maintains remotely sensed imagery analytical procedures to meet changing requirements and ensure maximum operational success. Builds expert level Advanced Geospatial Intelligence (AGI) collection requirements to answer intelligence requirements. Performs and manages data collection, analysis, interpretation, and management duties. Provides GEOINT related training to staff. Coordinates with physical and imagery scientists and other technical experts to design and develop statistical analyses. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",20,General Dynamics Information Technology
106,Geospatial Analyst,115.75,118.23,120.76,123.34,125.98,128.68, Bachelor's," Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Assists with development of analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Collects data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Works with scientists and other technical experts to design and develop statistical analyses methodologies. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",2,General Dynamics Information Technology
